UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
O00443,PIK3C2A,O00443,P3C2A_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,TRUE,M / MaN,M,MaN,15,O00443,1273.65783691406,212.442169189453,-2.58,2.58,-83.32,0.17,0,5.78E-01,5.18E-01,14,0.629265752901571,Homo sapiens,0%,190679.57,"phosphatidylinositol biosynthetic process,exocytosis,endocytosis,epidermal growth factor receptor signaling pathway,insulin receptor signaling pathway,vascular smooth muscle contraction,phosphatidylinositol-3-phosphate biosynthetic process,phosphatidylinositol phosphorylation,platelet-derived growth factor receptor signaling pathway,phosphatidylinositol-mediated signaling,clathrin coat assembly","ATP binding,1-phosphatidylinositol-3-kinase activity,phosphatidylinositol 3-kinase activity,1-phosphatidylinositol-4-phosphate 3-kinase activity,phosphatidylinositol binding","nucleus,cytoplasm,Golgi apparatus,cytosol,plasma membrane,phosphatidylinositol 3-kinase complex,membrane,clathrin-coated vesicle,vesicle,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00443|P3C2A_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens GN=PIK3C2A PE=1 SV=2,35,37
O00468,AGRN,O00468,AGRIN_HUMAN,Agrin,TRUE,M / MaN,M,MaN,40,O00468,628.474792480468,183.213455200195,-1.78,1.78,-70.85,0.29,0,5.83E-02,1.37E-01,39,0.394696138376917,Homo sapiens,0%,217232.45,"retinoid metabolic process,glycosaminoglycan biosynthetic process,glycosaminoglycan catabolic process,cytoskeleton organization,signal transduction,G-protein coupled acetylcholine receptor signaling pathway,extracellular matrix organization,glycosaminoglycan metabolic process,receptor clustering,positive regulation of GTPase activity,clustering of voltage-gated sodium channels,positive regulation of synaptic growth at neuromuscular junction,positive regulation of transcription from RNA polymerase II promoter,synapse organization,positive regulation of filopodium assembly","dystroglycan binding,structural constituent of cytoskeleton,calcium ion binding,protein binding,sialic acid binding,chondroitin sulfate binding,laminin binding,heparan sulfate proteoglycan binding","extracellular region,basal lamina,cytoplasm,Golgi lumen,plasma membrane,integral component of membrane,cell junction,extracellular matrix,lysosomal lumen,synapse,extracellular exosome",sp,1,5,uniprot_sprot_2015-08-28_HUMAN,>sp|O00468|AGRIN_HUMAN Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5,54,64
O00483,NDUFA4,O00483,NDUA4_HUMAN,Cytochrome c oxidase subunit NDUFA4,TRUE,M / MaN,M,MaN,10,O00483,369.512939453125,410.722961425781,0.15,0.15,11.15,1.11,0,9.38E-01,6.34E-01,9,0.660590491429434,Homo sapiens,0%,9369.86,"mitochondrial electron transport, NADH to ubiquinone,mitochondrial electron transport, cytochrome c to oxygen,hydrogen ion transmembrane transport","protein binding,NADH dehydrogenase (ubiquinone) activity,protein complex binding,cytochrome-c oxidase activity","mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,mitochondrial respiratory chain complex IV,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O00483|NDUA4_HUMAN Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1,7,8
O00505,KPNA3,O00505,IMA4_HUMAN,Importin subunit alpha-4,TRUE,M / MaN,M,MaN,10,O00505,48.6725273132324,46.1675071716308,-0.08,0.08,-5.15,0.95,0,6.12E-01,5.28E-01,9,0.672664598816983,Homo sapiens,0%,57810.92,"protein complex assembly,NLS-bearing protein import into nucleus,modulation by virus of host process,viral entry into host cell,viral penetration into host nucleus,intracellular transport of virus","protein binding,protein C-terminus binding,nuclear localization sequence binding,protein transporter activity","nuclear pore,nucleoplasm,cytosol",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00505|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens GN=KPNA3 PE=1 SV=2,19,29
O00506,STK25,O00506,STK25_HUMAN,Serine/threonine-protein kinase 25,TRUE,M / MaN,M,MaN,20,O00506,76.6931610107421,116.294494628906,0.60,0.60,51.64,1.52,0,1.56E-01,2.50E-01,19,0.420735620004026,Homo sapiens,0%,48111.68,"protein phosphorylation,response to oxidative stress,establishment or maintenance of cell polarity,signal transduction,signal transduction by protein phosphorylation,positive regulation of stress-activated MAPK cascade,intrinsic apoptotic signaling pathway in response to hydrogen peroxide,response to hydrogen peroxide,protein autophosphorylation,positive regulation of axonogenesis,Golgi localization,establishment of Golgi localization,Golgi reassembly","protein kinase activity,receptor signaling protein serine/threonine kinase activity,protein binding,ATP binding,protein homodimerization activity,metal ion binding","Golgi membrane,cytoplasm,extracellular exosome,Golgi apparatus",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O00506|STK25_HUMAN Serine/threonine-protein kinase 25 OS=Homo sapiens GN=STK25 PE=1 SV=1,18,26
O00534,VWA5A,O00534,VMA5A_HUMAN,von Willebrand factor A domain-containing protein 5A,TRUE,M / MaN,M,MaN,15,O00534,12.0323801040649,33.3681182861328,1.47,1.47,177.32,2.77,0,2.66E-02,8.36E-02,14,0.429605331732053,Homo sapiens,0%,86489.26,,,"nucleus,nucleoplasm",sp,2,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O00534|VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens GN=VWA5A PE=2 SV=2,24,29
O00567,NOP56,O00567,NOP56_HUMAN,Nucleolar protein 56,TRUE,M / MaN,M,MaN,25,O00567,462.316284179687,58.487693786621,-2.98,2.98,-87.35,0.13,0,1.83E-02,6.77E-02,24,0.350221496243874,Homo sapiens,0%,66049.89,"rRNA modification,rRNA processing,cell-cell adhesion","RNA binding,protein binding,snoRNA binding,poly(A) RNA binding,cadherin binding involved in cell-cell adhesion,histone methyltransferase binding","nucleoplasm,nucleolus,small nucleolar ribonucleoprotein complex,cytoplasm,cell-cell adherens junction,membrane,box C/D snoRNP complex,small-subunit processome,pre-snoRNP complex",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4,33,50
O00571,DDX3X,O00571,DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X,TRUE,M / MaN,M,MaN,125,O00571,1049.66638183593,597.765502929687,-0.81,0.81,-43.05,0.57,0,7.44E-01,5.80E-01,124,0.226088786264163,Homo sapiens,11.60%,73243.41,"transcription, DNA-templated,chromosome segregation,extrinsic apoptotic signaling pathway via death domain receptors,response to virus,RNA secondary structure unwinding,positive regulation of gene expression,Wnt signaling pathway,negative regulation of translation,positive regulation of cell growth,negative regulation of cell growth,negative regulation of protein complex assembly,DNA duplex unwinding,positive regulation of interferon-beta production,stress granule assembly,intracellular signal transduction,mature ribosome assembly,positive regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of viral genome replication,innate immune response,positive regulation of translation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of translational initiation,cellular response to arsenic-containing substance,cellular response to osmotic stress,positive regulation of chemokine (C-C motif) ligand 5 production,intrinsic apoptotic signaling pathway,cell-cell adhesion,positive regulation of G1/S transition of mitotic cell cycle,protein localization to cytoplasmic stress granule,negative regulation of intrinsic apoptotic signaling pathway","DNA binding,RNA binding,GTPase activity,ATP-dependent DNA helicase activity,ATP-dependent RNA helicase activity,protein binding,ATP binding,transcription factor binding,poly(A) binding,eukaryotic initiation factor 4E binding,ATPase activity,nucleoside-triphosphatase activity,translation initiation factor binding,RNA stem-loop binding,ribosomal small subunit binding,CTPase activity,poly(A) RNA binding,mRNA 5'-UTR binding,cadherin binding involved in cell-cell adhesion","nucleus,cytoplasm,mitochondrial outer membrane,cell-cell adherens junction,cytoplasmic stress granule,nuclear speck,extracellular exosome,eukaryotic translation initiation factor 3 complex,cytosolic small ribosomal subunit",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,46,71
O00748,CES2,O00748,EST2_HUMAN,Cocaine esterase,TRUE,M / MaN,M,MaN,25,O00748,249.946380615234,145.683731079101,-0.78,0.78,-41.71,0.58,0,9.74E-01,6.44E-01,24,0.570121524427385,Homo sapiens,0%,61806.83,"xenobiotic metabolic process,catabolic process","methylumbelliferyl-acetate deacetylase activity,carboxylic ester hydrolase activity","extracellular space,endoplasmic reticulum,endoplasmic reticulum lumen",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O00748|EST2_HUMAN Cocaine esterase OS=Homo sapiens GN=CES2 PE=1 SV=1,21,31
O14617,AP3D1,O14617,AP3D1_HUMAN,AP-3 complex subunit delta-1,TRUE,M / MaN,M,MaN,60,O14617,255.085891723632,294.547119140625,0.21,0.21,15.47,1.15,0,4.86E-01,4.72E-01,59,0.275127804377664,Homo sapiens,0%,130157.99,"eye pigment biosynthetic process,intracellular protein transport,anterograde axonal transport,melanosome organization,protein localization to organelle,endosome to melanosome transport,antigen processing and presentation, exogenous lipid antigen via MHC class Ib,anterograde synaptic vesicle transport,synaptic vesicle membrane organization,positive regulation of NK T cell differentiation,regulation of sequestering of zinc ion,protein localization to membrane",transporter activity,"Golgi membrane,nucleoplasm,lysosomal membrane,Golgi apparatus,endosome membrane,membrane,AP-3 adaptor complex,terminal bouton,axon cytoplasm",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1,45,64
O14654,IRS4,O14654,IRS4_HUMAN,Insulin receptor substrate 4,TRUE,M / MaN,M,MaN,5,O14654,18.2763366699218,16.4077949523925,-0.16,0.16,-10.22,0.90,0,5.51E-01,5.07E-01,4,0.494533956144665,Homo sapiens,0%,133767.58,"signal transduction,insulin receptor signaling pathway,positive regulation of signal transduction,regulation of lipid metabolic process","signal transducer activity,SH3/SH2 adaptor activity,insulin receptor binding,phosphatidylinositol 3-kinase binding","cytosol,plasma membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O14654|IRS4_HUMAN Insulin receptor substrate 4 OS=Homo sapiens GN=IRS4 PE=1 SV=1,86,171
O14735,CDIPT,O14735,CDIPT_HUMAN,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,TRUE,M / MaN,M,MaN,15,O14735,88.2457122802734,200.220825195312,1.18,1.18,126.89,2.27,0,2.44E-01,3.29E-01,14,0.699043898689864,Homo sapiens,0%,23538.8,"phosphatidylinositol biosynthetic process,CDP-diacylglycerol metabolic process","CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity,diacylglycerol binding,manganese ion binding,carbohydrate binding,alcohol binding","Golgi membrane,endoplasmic reticulum membrane,Golgi apparatus,plasma membrane,membrane,integral component of membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O14735|CDIPT_HUMAN CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens GN=CDIPT PE=1 SV=1,5,6
O14874,BCKDK,O14874,BCKD_HUMAN,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",TRUE,M / MaN,M,MaN,5,O14874,8.77241039276123,12.4443445205688,0.50,0.50,41.86,1.42,0,5.18E-01,4.89E-01,4,0.396180017831001,Homo sapiens,0%,46360.45,"protein phosphorylation,cellular amino acid catabolic process,branched-chain amino acid catabolic process,phosphorylation","protein serine/threonine kinase activity,ATP binding,kinase activity,[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity","mitochondrion,mitochondrial matrix,mitochondrial alpha-ketoglutarate dehydrogenase complex",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,">sp|O14874|BCKD_HUMAN [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Homo sapiens GN=BCKDK PE=1 SV=2",19,43
O14880,MGST3,O14880,MGST3_HUMAN,Microsomal glutathione S-transferase 3,TRUE,M / MaN,M,MaN,35,O14880,492.024475097656,414.80825805664,-0.25,0.25,-15.69,0.84,0,8.30E-01,6.06E-01,34,0.448535326325089,Homo sapiens,8.60%,16516.3,"lipid metabolic process,xenobiotic metabolic process,signal transduction,response to organonitrogen compound,cellular oxidant detoxification,glutathione derivative biosynthetic process","glutathione transferase activity,peroxidase activity,glutathione peroxidase activity","nuclear envelope,endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane,organelle membrane,intracellular membrane-bounded organelle,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O14880|MGST3_HUMAN Microsomal glutathione S-transferase 3 OS=Homo sapiens GN=MGST3 PE=1 SV=1,9,13
O14920,IKBKB,O14920,IKKB_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit beta,TRUE,M / MaN,M,MaN,25,O14920,119.989273071289,87.8767395019531,-0.45,0.45,-26.76,0.73,0,3.32E-02,9.47E-02,24,0.422159900214887,Homo sapiens,0%,86563.89,"stimulatory C-type lectin receptor signaling pathway,protein phosphorylation,inflammatory response,I-kappaB kinase/NF-kappaB signaling,I-kappaB phosphorylation,response to virus,regulation of tumor necrosis factor-mediated signaling pathway,cortical actin cytoskeleton organization,tumor necrosis factor-mediated signaling pathway,negative regulation of myosin-light-chain-phosphatase activity,TRIF-dependent toll-like receptor signaling pathway,Fc-epsilon receptor signaling pathway,regulation of phosphorylation,serine phosphorylation of STAT protein,negative regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,innate immune response,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,T cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,stress-activated MAPK cascade,nucleotide-binding oligomerization domain containing signaling pathway,interleukin-1-mediated signaling pathway,cellular response to tumor necrosis factor,establishment of protein localization to plasma membrane,regulation of establishment of endothelial barrier,negative regulation of bicellular tight junction assembly","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,IkappaB kinase activity,protein kinase binding,protein homodimerization activity,protein heterodimerization activity,scaffold protein binding","nucleus,cytoplasm,cytosol,IkappaB kinase complex,cytoplasmic side of plasma membrane,CD40 receptor complex,membrane raft",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|O14920|IKKB_HUMAN Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Homo sapiens GN=IKBKB PE=1 SV=1,24,31
O14936,CASK,O14936,CSKP_HUMAN,Peripheral plasma membrane protein CASK,TRUE,M / MaN,M,MaN,25,O14936,73.983528137207,68.5684509277343,-0.11,0.11,-7.32,0.93,0,8.05E-01,5.93E-01,24,0.404672841271712,Homo sapiens,0%,105122.73,"negative regulation of cell-matrix adhesion,protein phosphorylation,cell adhesion,neurotransmitter secretion,negative regulation of keratinocyte proliferation,positive regulation of transcription from RNA polymerase II promoter,GMP metabolic process,GDP metabolic process,negative regulation of wound healing,calcium ion import,positive regulation of calcium ion import,negative regulation of cellular response to growth factor stimulus","guanylate kinase activity,protein serine/threonine kinase activity,protein binding,calmodulin binding,ATP binding,neurexin family protein binding","basement membrane,nuclear lamina,nucleolus,cytoplasm,cytosol,plasma membrane,cell-cell junction,focal adhesion,actin cytoskeleton,basolateral plasma membrane,nuclear matrix,vesicle,presynaptic membrane,ciliary membrane",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|O14936|CSKP_HUMAN Peripheral plasma membrane protein CASK OS=Homo sapiens GN=CASK PE=1 SV=3,32,43
O14939,PLD2,O14939,PLD2_HUMAN,Phospholipase D2,TRUE,M / MaN,M,MaN,5,O14939,32.8103218078613,4.78968286514282,-2.78,2.78,-85.40,0.15,0,2.44E-01,3.30E-01,4,1.11653782343914,Homo sapiens,1.10%,105987.11,"phosphatidic acid biosynthetic process,cytoskeleton organization,small GTPase mediated signal transduction,lipid catabolic process,synaptic vesicle recycling,Fc-gamma receptor signaling pathway involved in phagocytosis,inositol lipid-mediated signaling,cell motility","phospholipase D activity,phosphatidylinositol binding,N-acylphosphatidylethanolamine-specific phospholipase D activity","endoplasmic reticulum membrane,Golgi apparatus,plasma membrane,presynapse",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|O14939|PLD2_HUMAN Phospholipase D2 OS=Homo sapiens GN=PLD2 PE=1 SV=2,7,7
O14949,UQCRQ,O14949,QCR8_HUMAN,Cytochrome b-c1 complex subunit 8,TRUE,M / MaN,M,MaN,10,O14949,92.4389572143554,140.935989379882,0.61,0.61,52.46,1.52,0,5.33E-01,4.97E-01,9,0.81618396677532,Homo sapiens,15.90%,9906.37,"mitochondrial electron transport, ubiquinol to cytochrome c,subthalamus development,pons development,cerebellar Purkinje cell layer development,hippocampus development,thalamus development,hypothalamus development,pyramidal neuron development,midbrain development,hydrogen ion transmembrane transport",ubiquinol-cytochrome-c reductase activity,"mitochondrion,mitochondrial inner membrane,respiratory chain",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|O14949|QCR8_HUMAN Cytochrome b-c1 complex subunit 8 OS=Homo sapiens GN=UQCRQ PE=1 SV=4,6,10
